Category,Average Maximum Surface Air Temperature (Annual Mean °C),Average Mean Surface Air Temperature (Annual Mean °C),Average Minimum Surface Air Temperature (Annual Mean °C),Precipitation (Annual Mean mm),Annual SPEI Drought Index (spei index),Average Largest 1-Day Precipitation (mm),Average Largest 5-Day Cumulative Precipitation (mm),Precipitation amount during wettest days (mm),Relative Humidity (%),Temperature-based Excess Mortality (factor),Region,Precipitation (mm),Average Maximum Surface Air Temperature (°C),Average Mean Surface Air Temperature (°C),Average Minimum Surface Air Temperature (°C)
2024,21.68,15.28,8.93,354.42,-0.73,25.88,34.83,16.33,60.22,0.08,Andijon,,,,
1901,22.01,15.16,8.35,93.46,,,,,,,Buxoro,,,,
1902,22.43,15.61,8.83,137.65,,,,,,,Buxoro,,,,
1903,20.85,14.13,7.46,120.03,,,,,,,Buxoro,,,,
1904,21.15,14.51,7.91,109.97,,,,,,,Buxoro,,,,
1905,20.99,14.41,7.86,114.56,,,,,,,Buxoro,,,,
1906,21.7,15.0,8.35,150.6,,,,,,,Buxoro,,,,
1907,20.8,14.14,7.52,157.21,,,,,,,Buxoro,,,,
1908,21.62,14.89,8.2,118.83,,,,,,,Buxoro,,,,
1909,22.87,15.83,8.84,97.37,,,,,,,Buxoro,,,,
1910,21.83,15.04,8.29,85.62,,,,,,,Buxoro,,,,
1911,21.1,14.33,7.59,149.97,,,,,,,Buxoro,,,,
1912,22.2,15.14,8.11,96.41,,,,,,,Buxoro,,,,
1913,21.64,15.24,8.88,145.3,,,,,,,Buxoro,,,,
1914,22.5,15.96,9.46,149.55,,,,,,,Buxoro,,,,
1915,23.36,16.6,9.88,106.16,,,,,,,Buxoro,,,,
1916,21.37,14.48,7.62,120.49,,,,,,,Buxoro,,,,
1917,22.81,15.71,8.66,37.12,,,,,,,Buxoro,,,,
1918,20.98,14.19,7.44,138.1,,,,,,,Buxoro,,,,
1919,21.44,14.39,7.38,125.39,,,,,,,Buxoro,,,,
1920,19.74,13.48,7.25,136.01,,,,,,,Buxoro,,,,
1921,21.05,14.5,7.98,118.2,,,,,,,Buxoro,,,,
1922,22.47,15.63,8.84,136.57,,,,,,,Buxoro,,,,
1923,21.07,14.32,7.61,149.79,,,,,,,Buxoro,,,,
1924,21.47,14.63,7.84,174.26,,,,,,,Buxoro,,,,
1925,22.63,15.6,8.6,99.75,,,,,,,Buxoro,,,,
1926,22.0,15.23,8.49,145.6,,,,,,,Buxoro,,,,
1927,21.97,15.16,8.39,91.97,,,,,,,Buxoro,,,,
1928,20.4,14.02,7.68,107.79,,,,,,,Buxoro,,,,
1929,20.45,13.8,7.19,102.97,,,,,,,Buxoro,,,,
1930,20.4,13.99,7.6,113.24,,,,,,,Buxoro,,,,
1931,20.0,13.89,7.82,181.7,,,,,,,Buxoro,,,,
1932,20.63,14.22,7.85,136.96,,,,,,,Buxoro,,,,
1933,20.99,14.6,8.24,180.61,,,,,,,Buxoro,,,,
1934,19.8,13.52,7.26,134.04,,,,,,,Buxoro,,,,
1935,20.98,14.29,7.63,107.84,,,,,,,Buxoro,,,,
1936,21.9,14.83,7.8,101.07,,,,,,,Buxoro,,,,
1937,21.06,14.09,7.15,98.94,,,,,,,Buxoro,,,,
1938,22.09,15.17,8.28,138.99,,,,,,,Buxoro,,,,
1939,22.45,15.54,8.67,169.2,,,,,,,Buxoro,,,,
1940,23.01,16.06,9.14,143.95,,,,,,,Buxoro,,,,
1941,23.56,16.52,9.53,137.54,,,,,,,Buxoro,,,,
1942,22.33,15.43,8.57,113.66,,,,,,,Buxoro,,,,
1943,21.05,14.35,7.69,143.76,,,,,,,Buxoro,,,,
1944,22.89,15.78,8.71,84.53,,,,,,,Buxoro,,,,
1945,21.35,14.56,7.81,162.11,,,,,,,Buxoro,,,,
1946,22.05,14.97,7.93,97.04,,,,,,,Buxoro,,,,
1947,22.87,15.78,8.72,99.77,,,,,,,Buxoro,,,,
1948,22.1,15.03,8.01,118.17,,,,,,,Buxoro,,,,
1949,20.19,13.59,7.01,165.72,,,,,,,Buxoro,,,,
1950,20.96,13.83,6.73,94.68,,12.68,20.1,0.11,42.4,0.02,Buxoro,,,,
1951,21.23,14.54,7.9,107.97,0.4,13.79,16.05,4.28,44.73,0.05,Buxoro,,,,
1952,21.44,14.81,8.21,173.72,1.23,12.94,31.24,0.41,45.18,0.07,Buxoro,,,,
1953,21.45,15.06,8.71,188.05,1.14,14.42,27.07,2.07,48.22,0.05,Buxoro,,,,
1954,20.6,14.05,7.54,129.34,2.53,19.98,37.61,10.71,48.33,0.02,Buxoro,,,,
1955,23.06,15.97,8.91,89.38,-0.32,7.88,16.61,0.0,41.17,0.13,Buxoro,,,,
1956,21.53,14.86,8.24,147.23,0.98,14.67,30.31,5.38,43.91,0.09,Buxoro,,,,
1957,20.42,13.89,7.39,114.51,0.76,12.81,17.99,0.0,46.89,0.02,Buxoro,,,,
1958,22.05,15.41,8.8,149.55,0.49,10.42,14.05,0.0,44.14,0.05,Buxoro,,,,
1959,20.95,14.55,8.19,145.72,0.93,12.97,23.33,3.78,46.99,0.03,Buxoro,,,,
1960,21.26,14.57,7.93,113.35,0.25,12.98,15.32,2.13,45.36,0.07,Buxoro,,,,
1961,22.63,15.67,8.74,110.48,-0.41,17.7,26.21,8.48,42.65,0.08,Buxoro,,,,
1962,21.79,15.07,8.4,130.83,-0.27,11.75,14.12,0.94,45.46,0.07,Buxoro,,,,
1963,22.66,15.93,9.23,118.23,-0.06,11.72,18.12,1.36,45.26,0.05,Buxoro,,,,
