Category,Average Maximum Surface Air Temperature (Annual Mean °C),Average Mean Surface Air Temperature (Annual Mean °C),Average Minimum Surface Air Temperature (Annual Mean °C),Precipitation (Annual Mean mm),Annual SPEI Drought Index (spei index),Average Largest 1-Day Precipitation (mm),Average Largest 5-Day Cumulative Precipitation (mm),Precipitation amount during wettest days (mm),Relative Humidity (%),Temperature-based Excess Mortality (factor),Region,Precipitation (mm),Average Maximum Surface Air Temperature (°C),Average Mean Surface Air Temperature (°C),Average Minimum Surface Air Temperature (°C)
2016,19.57,13.49,7.45,190.57,0.1,11.48,18.93,4.8,56.31,0.11,Qaraqalpogiston,,,,
2017,19.28,12.86,6.47,123.11,-0.39,9.15,14.26,1.96,52.64,0.24,Qaraqalpogiston,,,,
2018,18.73,12.25,5.81,101.75,-1.01,13.98,20.19,7.44,50.97,0.22,Qaraqalpogiston,,,,
2019,19.76,13.34,6.95,116.27,-1.17,12.19,21.46,3.87,52.62,0.24,Qaraqalpogiston,,,,
2020,19.55,13.02,6.52,86.37,-2.24,9.54,17.72,1.96,49.14,0.24,Qaraqalpogiston,,,,
2021,20.32,13.58,6.87,76.31,-2.66,6.11,11.99,0.0,47.4,0.35,Qaraqalpogiston,,,,
2022,19.71,13.43,7.19,105.87,-2.19,12.22,19.51,3.65,52.41,0.2,Qaraqalpogiston,,,,
2023,21.29,14.45,7.65,106.4,-2.2,10.15,23.76,2.96,50.09,0.23,Qaraqalpogiston,,,,
2024,19.67,13.28,6.93,134.83,-1.52,15.45,20.9,7.65,53.2,0.16,Qaraqalpogiston,,,,
1901,20.84,13.92,7.03,210.32,,,,,,,Qashqadaryo,,,,
1902,21.22,14.37,7.57,281.02,,,,,,,Qashqadaryo,,,,
1903,19.55,12.84,6.16,310.15,,,,,,,Qashqadaryo,,,,
1904,20.03,13.26,6.53,281.48,,,,,,,Qashqadaryo,,,,
1905,19.74,13.14,6.56,205.42,,,,,,,Qashqadaryo,,,,
1906,20.49,13.75,7.05,330.27,,,,,,,Qashqadaryo,,,,
1907,19.6,12.93,6.3,394.33,,,,,,,Qashqadaryo,,,,
1908,20.5,13.68,6.9,327.12,,,,,,,Qashqadaryo,,,,
1909,21.72,14.5,7.32,237.82,,,,,,,Qashqadaryo,,,,
1910,20.61,13.77,6.97,248.1,,,,,,,Qashqadaryo,,,,
1911,20.0,13.08,6.2,341.21,,,,,,,Qashqadaryo,,,,
1912,21.02,13.87,6.77,291.1,,,,,,,Qashqadaryo,,,,
1913,20.48,13.96,7.48,316.41,,,,,,,Qashqadaryo,,,,
1914,21.4,14.73,8.1,325.89,,,,,,,Qashqadaryo,,,,
1915,22.29,15.35,8.46,228.95,,,,,,,Qashqadaryo,,,,
1916,20.06,13.17,6.31,263.2,,,,,,,Qashqadaryo,,,,
1917,21.53,14.47,7.46,69.36,,,,,,,Qashqadaryo,,,,
1918,19.89,12.97,6.09,287.82,,,,,,,Qashqadaryo,,,,
1919,20.26,13.03,5.84,319.82,,,,,,,Qashqadaryo,,,,
1920,18.38,12.11,5.88,331.04,,,,,,,Qashqadaryo,,,,
1921,19.66,13.11,6.59,294.66,,,,,,,Qashqadaryo,,,,
1922,21.2,14.29,7.43,302.39,,,,,,,Qashqadaryo,,,,
1923,19.74,12.97,6.23,381.01,,,,,,,Qashqadaryo,,,,
1924,20.2,13.3,6.43,389.17,,,,,,,Qashqadaryo,,,,
1925,21.53,14.22,6.94,207.53,,,,,,,Qashqadaryo,,,,
1926,20.77,13.94,7.15,307.32,,,,,,,Qashqadaryo,,,,
1927,20.69,13.9,7.14,204.28,,,,,,,Qashqadaryo,,,,
1928,19.16,12.76,6.4,230.94,,,,,,,Qashqadaryo,,,,
1929,19.18,12.55,5.95,245.37,,,,,,,Qashqadaryo,,,,
1930,19.17,12.72,6.31,226.02,,,,,,,Qashqadaryo,,,,
1931,18.76,12.65,6.57,397.28,,,,,,,Qashqadaryo,,,,
1932,19.33,12.92,6.55,248.87,,,,,,,Qashqadaryo,,,,
1933,19.77,13.31,6.89,332.96,,,,,,,Qashqadaryo,,,,
1934,18.56,12.25,5.98,367.46,,,,,,,Qashqadaryo,,,,
1935,19.51,12.93,6.39,265.04,,,,,,,Qashqadaryo,,,,
1936,20.7,13.57,6.47,217.55,,,,,,,Qashqadaryo,,,,
1937,19.8,12.79,5.81,273.32,,,,,,,Qashqadaryo,,,,
1938,20.89,13.89,6.92,296.33,,,,,,,Qashqadaryo,,,,
1939,21.22,14.2,7.22,333.42,,,,,,,Qashqadaryo,,,,
1940,21.82,14.79,7.8,297.15,,,,,,,Qashqadaryo,,,,
1941,22.33,15.23,8.16,373.07,,,,,,,Qashqadaryo,,,,
1942,21.0,14.13,7.3,350.1,,,,,,,Qashqadaryo,,,,
1943,19.84,13.1,6.4,371.98,,,,,,,Qashqadaryo,,,,
1944,21.63,14.48,7.39,191.44,,,,,,,Qashqadaryo,,,,
1945,20.13,13.28,6.45,344.52,,,,,,,Qashqadaryo,,,,
1946,20.91,13.74,6.6,191.4,,,,,,,Qashqadaryo,,,,
1947,21.66,14.52,7.43,243.76,,,,,,,Qashqadaryo,,,,
1948,20.85,13.76,6.7,254.83,,,,,,,Qashqadaryo,,,,
1949,18.96,12.35,5.79,360.51,,,,,,,Qashqadaryo,,,,
1950,19.71,12.6,5.52,239.31,,16.36,47.47,3.93,49.82,0.08,Qashqadaryo,,,,
1951,19.97,13.28,6.63,299.11,-0.03,25.74,39.84,12.66,54.44,0.06,Qashqadaryo,,,,
1952,20.26,13.59,6.96,391.33,0.85,21.22,51.93,6.9,54.16,0.06,Qashqadaryo,,,,
1953,20.18,13.74,7.34,433.6,1.4,35.51,73.4,21.3,56.32,0.06,Qashqadaryo,,,,
1954,19.42,12.84,6.3,290.96,2.36,30.24,80.89,13.46,54.54,0.02,Qashqadaryo,,,,
1955,21.85,14.7,7.59,269.0,-0.02,27.41,51.21,13.63,48.95,0.14,Qashqadaryo,,,,
1956,20.42,13.64,6.91,299.03,0.29,23.81,48.9,18.72,49.52,0.12,Qashqadaryo,,,,
1957,19.08,12.57,6.1,318.16,-0.16,18.72,39.34,6.05,54.67,0.04,Qashqadaryo,,,,
1958,20.74,14.11,7.52,359.69,0.67,25.77,45.91,14.28,51.1,0.09,Qashqadaryo,,,,
1959,19.73,13.3,6.91,292.54,0.49,20.18,44.19,12.03,57.04,0.04,Qashqadaryo,,,,
1960,19.89,13.25,6.64,348.75,0.26,21.61,40.53,8.13,57.02,0.06,Qashqadaryo,,,,
1961,21.24,14.3,7.4,275.42,-0.48,22.59,46.97,13.49,52.04,0.07,Qashqadaryo,,,,
1962,20.42,13.75,7.11,306.67,-0.47,15.9,32.98,4.54,54.46,0.05,Qashqadaryo,,,,
1963,21.39,14.62,7.9,378.16,-0.16,18.67,35.9,7.9,54.51,0.04,Qashqadaryo,,,,
1964,19.4,12.73,6.1,357.68,1.39,27.62,59.44,17.79,56.28,0.04,Qashqadaryo,,,,
1965,20.89,14.22,7.59,249.67,-0.08,26.05,38.14,10.51,53.2,0.05,Qashqadaryo,,,,
1966,21.35,14.6,7.89,243.38,-0.96,21.33,37.66,6.74,50.42,0.09,Qashqadaryo,,,,
1967,20.34,13.84,7.38,344.01,-0.35,23.36,41.45,5.83,55.45,0.06,Qashqadaryo,,,,
1968,20.37,13.94,7.55,326.66,0.19,23.25,40.0,6.45,56.44,0.06,Qashqadaryo,,,,
1969,18.48,12.35,6.26,524.04,2.46,31.13,77.78,25.83,61.99,0.03,Qashqadaryo,,,,
1970,21.14,14.34,7.58,264.27,0.3,17.39,34.2,3.37,54.82,0.07,Qashqadaryo,,,,
1971,21.55,14.64,7.77,174.8,-1.41,18.98,33.13,7.08,51.47,0.06,Qashqadaryo,,,,
1972,18.24,11.92,5.64,383.31,0.26,20.68,46.33,9.14,58.33,0.01,Qashqadaryo,,,,
1973,20.74,14.03,7.37,292.16,0.74,23.94,50.2,14.66,56.02,0.08,Qashqadaryo,,,,
1974,19.54,13.08,6.66,272.9,-0.22,30.4,47.46,16.54,55.62,0.05,Qashqadaryo,,,,
1975,20.64,13.94,7.27,236.99,-0.58,23.57,43.85,12.02,53.47,0.1,Qashqadaryo,,,,
1976,19.84,13.49,7.17,338.86,0.31,24.0,39.51,10.78,57.18,0.07,Qashqadaryo,,,,
1977,20.79,14.41,8.05,284.78,-0.55,20.62,43.34,4.53,57.59,0.1,Qashqadaryo,,,,
1978,20.51,14.09,7.7,338.47,0.47,18.59,34.55,8.77,57.29,0.06,Qashqadaryo,,,,
1979,20.89,14.41,7.97,304.75,0.66,21.32,41.34,8.65,55.91,0.08,Qashqadaryo,,,,
1980,20.86,14.39,7.97,293.27,-0.02,20.05,30.59,7.6,56.93,0.07,Qashqadaryo,,,,
1981,21.02,14.71,8.45,374.62,0.7,21.56,51.22,9.88,57.81,0.03,Qashqadaryo,,,,
1982,19.76,13.53,7.34,326.77,0.26,18.73,36.36,2.71,58.2,0.05,Qashqadaryo,,,,
1983,21.48,14.85,8.27,267.12,-0.12,19.99,38.33,4.04,55.33,0.11,Qashqadaryo,,,,
1984,19.59,13.28,7.01,271.14,-0.24,24.72,44.88,10.24,57.65,0.12,Qashqadaryo,,,,
1985,20.68,14.15,7.65,264.94,0.33,19.46,43.01,7.67,56.26,0.07,Qashqadaryo,,,,
1986,20.82,14.32,7.88,229.1,-0.78,17.6,39.89,4.33,54.75,0.05,Qashqadaryo,,,,
1987,20.82,14.41,8.04,343.25,0.53,22.98,50.52,11.87,56.9,0.04,Qashqadaryo,,,,
1988,21.46,14.93,8.45,316.46,0.48,25.6,48.97,12.93,56.58,0.08,Qashqadaryo,,,,
1989,20.69,14.05,7.44,261.5,-0.53,22.63,49.07,7.18,54.38,0.04,Qashqadaryo,,,,
1990,21.08,14.64,8.23,281.72,-0.13,18.76,50.43,4.15,57.55,0.08,Qashqadaryo,,,,
1991,20.41,14.24,8.1,372.76,0.16,20.2,50.81,5.62,59.9,0.03,Qashqadaryo,,,,
1992,20.03,13.95,7.91,396.4,1.33,21.06,45.01,8.0,58.71,0.04,Qashqadaryo,,,,
1993,19.47,13.43,7.44,451.18,1.24,25.5,61.41,14.94,60.19,0.04,Qashqadaryo,,,,
1994,20.52,14.12,7.75,348.14,0.27,18.52,36.85,4.16,57.64,0.09,Qashqadaryo,,,,
1995,22.04,15.2,8.41,251.61,-0.33,21.14,56.73,8.53,55.11,0.1,Qashqadaryo,,,,
1996,20.54,13.93,7.36,254.96,-0.75,19.78,47.47,5.14,54.14,0.07,Qashqadaryo,,,,
1997,21.52,15.0,8.52,410.81,-0.09,24.32,54.31,12.72,58.22,0.12,Qashqadaryo,,,,
1998,20.98,14.62,8.31,459.67,1.34,34.26,79.4,21.82,59.29,0.06,Qashqadaryo,,,,
1999,21.77,15.3,8.88,331.79,0.09,27.15,38.22,7.38,57.55,0.06,Qashqadaryo,,,,
2000,21.88,15.28,8.72,262.49,-1.92,15.07,22.88,1.49,52.74,0.08,Qashqadaryo,,,,
2001,21.92,15.31,8.74,245.18,-2.12,17.92,29.34,4.76,53.78,0.09,Qashqadaryo,,,,
2002,21.73,15.14,8.59,400.66,0.35,31.03,52.27,24.64,58.81,0.08,Qashqadaryo,,,,
2003,20.52,14.46,8.46,387.91,0.86,24.54,50.85,15.05,59.39,0.07,Qashqadaryo,,,,
2004,21.86,15.52,9.22,354.16,0.36,27.59,60.05,16.33,57.17,0.06,Qashqadaryo,,,,
2005,21.56,15.11,8.69,329.55,0.27,20.08,43.54,6.33,55.32,0.07,Qashqadaryo,,,,
2006,21.5,15.08,8.7,304.62,-1.42,17.02,30.32,4.18,55.03,0.09,Qashqadaryo,,,,
2007,21.65,15.06,8.5,317.17,-0.94,22.26,56.03,9.29,56.07,0.06,Qashqadaryo,,,,
2008,21.09,14.57,8.08,259.47,-1.07,18.98,30.91,4.72,57.07,0.09,Qashqadaryo,,,,
2009,21.23,14.99,8.78,452.68,0.3,21.78,53.53,14.33,58.48,0.04,Qashqadaryo,,,,
2010,22.19,15.6,9.06,283.21,0.1,21.19,37.37,8.05,54.31,0.07,Qashqadaryo,,,,
2011,20.9,14.67,8.47,288.48,-1.61,14.78,36.57,2.42,54.29,0.12,Qashqadaryo,,,,
2012,20.88,14.41,7.97,384.34,0.02,17.34,38.81,3.94,55.76,0.07,Qashqadaryo,,,,
2013,21.91,15.46,9.05,346.5,-0.63,20.99,39.46,12.03,53.11,0.11,Qashqadaryo,,,,
2014,20.94,14.33,7.75,342.82,-0.86,16.49,45.38,3.11,53.85,0.1,Qashqadaryo,,,,
2015,21.67,15.39,9.14,365.89,0.08,25.77,48.5,15.34,54.68,0.14,Qashqadaryo,,,,
2016,22.16,15.84,9.57,353.97,-0.82,15.42,42.45,4.81,53.18,0.1,Qashqadaryo,,,,
2017,21.55,15.1,8.7,293.02,-0.3,31.2,68.15,12.56,51.76,0.11,Qashqadaryo,,,,
2018,21.63,15.32,9.05,261.77,-1.92,17.47,36.13,3.76,50.65,0.16,Qashqadaryo,,,,
2019,21.88,15.72,9.61,423.28,0.84,32.87,54.09,16.34,54.95,0.15,Qashqadaryo,,,,
2020,20.82,14.65,8.52,364.4,0.16,19.54,48.64,4.35,54.56,0.07,Qashqadaryo,,,,
2021,22.61,15.89,9.22,224.11,-1.61,24.93,48.27,15.74,46.96,0.19,Qashqadaryo,,,,
2022,22.16,16.15,10.18,391.59,-1.49,19.24,42.01,8.41,53.41,0.18,Qashqadaryo,,,,
2023,23.13,16.69,10.29,257.3,-1.9,15.6,36.12,4.67,47.52,0.26,Qashqadaryo,,,,
2024,21.66,15.74,9.86,390.4,-0.83,25.31,39.77,14.69,52.21,0.2,Qashqadaryo,,,,
1901,20.84,13.84,6.87,222.61,,,,,,,Samarqand,,,,
1902,21.17,14.34,7.54,289.8,,,,,,,Samarqand,,,,
1903,19.48,12.78,6.1,292.17,,,,,,,Samarqand,,,,
1904,20.0,13.23,6.5,269.16,,,,,,,Samarqand,,,,
1905,19.62,13.07,6.54,209.08,,,,,,,Samarqand,,,,
1906,20.44,13.71,7.02,317.59,,,,,,,Samarqand,,,,
1907,19.47,12.88,6.31,362.4,,,,,,,Samarqand,,,,
1908,20.48,13.69,6.96,321.72,,,,,,,Samarqand,,,,
1909,21.89,14.51,7.17,219.66,,,,,,,Samarqand,,,,
1910,20.68,13.79,6.93,236.38,,,,,,,Samarqand,,,,
1911,20.07,13.08,6.12,344.87,,,,,,,Samarqand,,,,
1912,20.91,13.85,6.83,260.23,,,,,,,Samarqand,,,,
1913,20.34,13.93,7.55,317.03,,,,,,,Samarqand,,,,
1914,21.23,14.71,8.23,320.76,,,,,,,Samarqand,,,,
1915,22.05,15.33,8.64,213.96,,,,,,,Samarqand,,,,
1916,19.87,13.08,6.33,245.87,,,,,,,Samarqand,,,,
1917,21.42,14.48,7.57,64.23,,,,,,,Samarqand,,,,
1918,19.73,12.85,5.99,255.9,,,,,,,Samarqand,,,,
1919,20.1,12.89,5.72,291.26,,,,,,,Samarqand,,,,
1920,18.15,11.97,5.82,327.83,,,,,,,Samarqand,,,,
1921,19.58,13.09,6.64,296.41,,,,,,,Samarqand,,,,
1922,21.09,14.21,7.38,281.71,,,,,,,Samarqand,,,,
1923,19.54,12.84,6.17,355.96,,,,,,,Samarqand,,,,
1924,20.08,13.22,6.4,359.12,,,,,,,Samarqand,,,,
1925,21.5,14.14,6.83,212.84,,,,,,,Samarqand,,,,
1926,20.72,13.88,7.07,286.55,,,,,,,Samarqand,,,,
1927,20.53,13.82,7.15,185.39,,,,,,,Samarqand,,,,
1928,19.07,12.73,6.41,252.54,,,,,,,Samarqand,,,,
1929,19.1,12.49,5.91,245.85,,,,,,,Samarqand,,,,
1930,19.09,12.72,6.38,231.83,,,,,,,Samarqand,,,,
1931,18.72,12.66,6.63,373.4,,,,,,,Samarqand,,,,
1932,19.25,12.93,6.64,253.64,,,,,,,Samarqand,,,,
1933,19.69,13.29,6.94,310.18,,,,,,,Samarqand,,,,
1934,18.44,12.19,5.98,352.85,,,,,,,Samarqand,,,,
1935,19.48,12.92,6.39,240.15,,,,,,,Samarqand,,,,
1936,20.66,13.56,6.49,205.8,,,,,,,Samarqand,,,,
1937,19.76,12.75,5.77,243.79,,,,,,,Samarqand,,,,
1938,20.77,13.8,6.87,275.46,,,,,,,Samarqand,,,,
1939,21.13,14.16,7.22,277.4,,,,,,,Samarqand,,,,
1940,21.6,14.62,7.67,268.25,,,,,,,Samarqand,,,,
1941,22.19,15.12,8.08,322.81,,,,,,,Samarqand,,,,
1942,20.85,13.98,7.15,336.0,,,,,,,Samarqand,,,,
1943,19.71,13.0,6.32,364.54,,,,,,,Samarqand,,,,
1944,21.47,14.35,7.27,187.88,,,,,,,Samarqand,,,,
1945,19.94,13.11,6.33,339.4,,,,,,,Samarqand,,,,
1946,20.73,13.59,6.49,186.26,,,,,,,Samarqand,,,,
1947,21.45,14.35,7.28,260.9,,,,,,,Samarqand,,,,
1948,20.65,13.61,6.6,242.76,,,,,,,Samarqand,,,,
1949,18.75,12.21,5.7,352.97,,,,,,,Samarqand,,,,
1950,19.51,12.44,5.4,198.36,,20.59,52.08,5.85,50.69,0.06,Samarqand,,,,
1951,19.81,13.16,6.55,291.45,-0.28,28.35,48.02,15.79,56.89,0.05,Samarqand,,,,
1952,20.11,13.48,6.88,370.97,0.97,20.04,61.65,7.87,55.93,0.07,Samarqand,,,,
1953,20.04,13.65,7.3,421.98,1.38,42.79,84.75,26.43,58.44,0.05,Samarqand,,,,
1954,19.21,12.65,6.12,284.56,2.02,27.39,72.49,17.36,55.91,0.03,Samarqand,,,,
1955,21.7,14.54,7.42,263.22,-0.23,29.71,51.52,15.59,50.81,0.13,Samarqand,,,,
1956,20.3,13.51,6.76,297.11,0.27,26.25,60.97,23.81,51.33,0.1,Samarqand,,,,
1957,18.96,12.46,6.0,303.09,-0.3,20.3,37.64,9.63,56.1,0.04,Samarqand,,,,
1958,20.6,14.01,7.45,347.79,0.5,23.62,43.14,10.9,53.3,0.1,Samarqand,,,,
1959,19.66,13.23,6.84,278.29,0.19,24.12,43.94,12.98,58.2,0.02,Samarqand,,,,
1960,19.75,13.15,6.58,320.21,0.15,20.06,39.39,8.67,59.2,0.04,Samarqand,,,,
1961,21.18,14.26,7.37,266.83,-0.33,27.12,52.64,23.04,52.8,0.06,Samarqand,,,,
1962,20.4,13.73,7.11,284.77,-0.58,21.6,37.97,9.65,55.78,0.06,Samarqand,,,,
1963,21.31,14.54,7.82,345.11,-0.15,23.63,47.48,9.69,57.12,0.04,Samarqand,,,,
1964,19.32,12.69,6.09,347.31,1.3,30.38,66.2,18.91,57.77,0.03,Samarqand,,,,
1965,20.75,14.1,7.5,269.0,0.14,34.4,41.31,21.22,56.27,0.05,Samarqand,,,,
1966,21.15,14.45,7.81,224.35,-0.97,21.59,37.11,8.19,53.45,0.09,Samarqand,,,,
1967,20.23,13.77,7.35,324.5,-0.39,28.14,38.29,10.43,57.47,0.06,Samarqand,,,,
1968,20.25,13.84,7.47,319.27,0.25,18.93,46.52,5.66,58.44,0.07,Samarqand,,,,
1969,18.39,12.28,6.21,533.68,2.42,39.4,89.13,28.98,63.13,0.03,Samarqand,,,,
1970,20.99,14.21,7.47,264.57,0.53,23.17,42.03,9.87,56.82,0.05,Samarqand,,,,
1971,21.42,14.52,7.65,159.42,-1.4,15.81,31.66,4.99,52.59,0.06,Samarqand,,,,
1972,18.1,11.81,5.55,344.32,-0.05,18.84,45.07,6.04,59.03,0.01,Samarqand,,,,
1973,20.58,13.94,7.32,267.4,0.58,24.67,59.85,19.46,56.85,0.07,Samarqand,,,,
1974,19.43,12.99,6.59,279.45,-0.26,28.42,50.64,17.33,56.95,0.05,Samarqand,,,,
1975,20.54,13.89,7.26,223.07,-0.77,25.6,46.35,21.59,54.41,0.1,Samarqand,,,,
1976,19.68,13.38,7.11,322.63,-0.07,21.12,43.25,8.71,58.83,0.07,Samarqand,,,,
1977,20.65,14.31,8.0,290.05,-0.69,29.18,62.69,8.08,58.97,0.09,Samarqand,,,,
1978,20.32,13.94,7.61,301.92,0.74,20.08,39.6,10.33,59.85,0.05,Samarqand,,,,
1979,20.69,14.26,7.86,304.99,0.8,26.73,44.9,12.56,58.35,0.08,Samarqand,,,,
1980,20.69,14.25,7.86,292.61,-0.01,25.68,35.53,13.65,58.95,0.07,Samarqand,,,,
1981,20.83,14.56,8.32,354.03,0.69,21.1,50.13,11.02,60.25,0.03,Samarqand,,,,
1982,19.72,13.49,7.3,293.55,0.02,18.6,37.48,5.26,59.16,0.05,Samarqand,,,,
1983,21.38,14.78,8.21,238.88,-0.14,21.26,43.8,6.91,57.19,0.1,Samarqand,,,,
1984,19.47,13.18,6.92,283.55,-0.36,20.5,39.93,10.91,58.88,0.11,Samarqand,,,,
1985,20.49,13.98,7.52,249.5,0.32,23.95,45.6,11.6,58.02,0.07,Samarqand,,,,
1986,20.69,14.23,7.8,213.05,-0.9,23.72,40.53,18.86,56.07,0.05,Samarqand,,,,
1987,20.6,14.23,7.91,354.97,0.69,24.99,58.0,13.27,60.54,0.05,Samarqand,,,,
1988,21.34,14.82,8.35,282.88,0.52,25.78,47.6,13.04,59.0,0.07,Samarqand,,,,
1989,20.53,13.89,7.28,237.35,-0.31,23.64,55.22,10.02,57.73,0.04,Samarqand,,,,
1990,20.95,14.52,8.13,292.91,0.07,16.93,42.6,3.48,59.23,0.07,Samarqand,,,,
1991,20.29,14.14,8.03,386.18,0.39,22.55,59.35,13.77,61.45,0.03,Samarqand,,,,
1992,19.95,13.85,7.8,380.82,1.44,25.32,53.4,9.89,61.53,0.03,Samarqand,,,,
1993,19.29,13.27,7.28,437.12,1.33,28.17,80.4,16.51,62.13,0.04,Samarqand,,,,
1994,20.33,13.94,7.6,309.01,0.33,22.09,45.28,8.39,59.6,0.07,Samarqand,,,,
1995,21.87,15.06,8.28,215.96,-0.55,19.57,40.41,5.39,56.74,0.09,Samarqand,,,,
1996,20.37,13.76,7.18,227.16,-0.94,23.24,56.92,8.44,56.49,0.07,Samarqand,,,,
1997,21.47,14.91,8.38,373.87,0.13,24.68,57.73,15.85,60.69,0.1,Samarqand,,,,
1998,20.84,14.47,8.15,432.43,1.27,27.19,71.99,19.3,61.68,0.06,Samarqand,,,,
1999,21.6,15.16,8.76,318.46,-0.09,22.7,34.58,9.33,58.88,0.06,Samarqand,,,,
2000,21.65,15.09,8.56,257.12,-1.81,14.7,26.26,1.53,55.58,0.1,Samarqand,,,,
2001,21.72,15.15,8.61,230.63,-2.17,17.69,33.81,4.81,56.06,0.08,Samarqand,,,,
2002,21.59,15.03,8.52,384.6,0.35,31.56,54.21,21.82,61.35,0.09,Samarqand,,,,
2003,20.4,14.36,8.38,387.37,0.84,20.91,51.89,14.36,62.13,0.07,Samarqand,,,,
2004,21.75,15.45,9.21,346.37,0.42,24.97,60.41,19.78,59.73,0.07,Samarqand,,,,
2005,21.44,15.04,8.67,318.85,0.41,19.24,44.5,7.45,57.91,0.08,Samarqand,,,,
2006,21.37,14.98,8.64,283.53,-1.25,23.91,37.75,9.91,57.29,0.08,Samarqand,,,,
2007,21.56,15.03,8.54,294.53,-0.84,22.71,56.75,13.7,57.92,0.06,Samarqand,,,,
2008,20.98,14.46,7.98,252.67,-1.14,19.53,35.3,7.86,58.73,0.11,Samarqand,,,,
2009,21.2,14.95,8.75,406.05,0.32,25.21,52.71,15.04,60.55,0.04,Samarqand,,,,
2010,22.16,15.59,9.04,266.59,-0.06,19.27,38.34,6.1,56.81,0.08,Samarqand,,,,
2011,20.86,14.58,8.34,289.96,-1.57,19.39,50.56,8.87,56.75,0.12,Samarqand,,,,
2012,20.75,14.29,7.87,336.53,-0.24,19.32,39.1,5.67,57.18,0.08,Samarqand,,,,
2013,21.9,15.45,9.05,327.95,-0.68,28.71,45.76,14.85,54.84,0.1,Samarqand,,,,
2014,20.85,14.21,7.61,317.94,-0.86,17.53,55.05,5.27,55.69,0.1,Samarqand,,,,
2015,21.68,15.38,9.12,340.0,-0.15,19.63,51.17,8.37,56.75,0.14,Samarqand,,,,
2016,22.17,15.79,9.46,337.15,-0.87,17.37,38.79,3.72,55.95,0.1,Samarqand,,,,
2017,21.51,15.02,8.57,278.11,-0.21,33.22,73.67,16.77,53.78,0.11,Samarqand,,,,
2018,21.6,15.17,8.79,248.09,-1.81,29.06,38.39,10.21,53.28,0.14,Samarqand,,,,
2019,22.04,15.7,9.42,385.18,0.37,30.48,57.03,12.3,57.18,0.14,Samarqand,,,,
2020,20.93,14.64,8.38,322.76,0.23,26.01,59.93,10.32,57.44,0.06,Samarqand,,,,
2021,22.59,15.83,9.1,203.54,-1.65,25.03,51.21,14.22,50.39,0.17,Samarqand,,,,
2022,22.03,16.04,10.1,376.0,-1.28,22.31,52.0,9.04,56.54,0.14,Samarqand,,,,
2023,23.05,16.6,10.19,237.25,-1.72,19.07,45.58,11.3,50.41,0.25,Samarqand,,,,
2024,21.69,15.69,9.73,357.93,-0.61,36.1,48.57,22.15,56.15,0.15,Samarqand,,,,
1901,22.52,15.61,8.74,421.28,,,,,,,Sirdaryo,,,,
1902,22.96,16.25,9.6,571.52,,,,,,,Sirdaryo,,,,
1903,21.27,14.66,8.07,429.2,,,,,,,Sirdaryo,,,,
1904,22.03,15.19,8.39,401.73,,,,,,,Sirdaryo,,,,
1905,21.47,14.95,8.47,373.2,,,,,,,Sirdaryo,,,,
1906,22.34,15.64,8.99,420.08,,,,,,,Sirdaryo,,,,
1907,21.39,14.77,8.18,484.04,,,,,,,Sirdaryo,,,,
1908,22.53,15.54,8.6,547.07,,,,,,,Sirdaryo,,,,
1909,23.69,16.37,9.1,316.12,,,,,,,Sirdaryo,,,,
1910,22.46,15.67,8.94,407.12,,,,,,,Sirdaryo,,,,
1911,21.91,15.02,8.16,528.46,,,,,,,Sirdaryo,,,,
1912,22.71,15.84,9.01,392.05,,,,,,,Sirdaryo,,,,
1913,22.35,15.89,9.48,444.69,,,,,,,Sirdaryo,,,,
1914,23.18,16.66,10.19,434.17,,,,,,,Sirdaryo,,,,
1915,23.89,17.28,10.73,288.82,,,,,,,Sirdaryo,,,,
1916,21.76,15.04,8.36,327.08,,,,,,,Sirdaryo,,,,
1917,23.28,16.46,9.69,130.28,,,,,,,Sirdaryo,,,,
1918,21.67,14.71,7.78,372.75,,,,,,,Sirdaryo,,,,
1919,22.13,14.8,7.51,379.61,,,,,,,Sirdaryo,,,,
1920,19.84,13.86,7.92,521.65,,,,,,,Sirdaryo,,,,
1921,21.27,14.92,8.63,496.71,,,,,,,Sirdaryo,,,,
1922,22.68,16.06,9.49,407.1,,,,,,,Sirdaryo,,,,
1923,21.4,14.72,8.09,512.84,,,,,,,Sirdaryo,,,,
1924,21.98,15.2,8.45,484.57,,,,,,,Sirdaryo,,,,
1925,23.3,16.07,8.87,294.97,,,,,,,Sirdaryo,,,,
1926,22.37,15.82,9.32,370.19,,,,,,,Sirdaryo,,,,
1927,22.3,15.73,9.19,286.04,,,,,,,Sirdaryo,,,,
1928,20.89,14.64,8.43,476.13,,,,,,,Sirdaryo,,,,
1929,20.98,14.43,7.91,391.9,,,,,,,Sirdaryo,,,,
1930,21.0,14.68,8.4,398.64,,,,,,,Sirdaryo,,,,
1931,20.71,14.67,8.69,469.87,,,,,,,Sirdaryo,,,,
1932,21.11,14.91,8.74,485.62,,,,,,,Sirdaryo,,,,
1933,21.7,15.29,8.92,473.18,,,,,,,Sirdaryo,,,,
1934,20.27,14.14,8.04,487.31,,,,,,,Sirdaryo,,,,
1935,21.38,14.87,8.39,414.71,,,,,,,Sirdaryo,,,,
1936,22.58,15.46,8.39,341.63,,,,,,,Sirdaryo,,,,
1937,21.6,14.66,7.75,362.5,,,,,,,Sirdaryo,,,,
